2023-07-18 12:13:34 [@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:19:51 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:19:51 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:19:52 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:19:52 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:20:13 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:21:13 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:21:14 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:23:27 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:23:29 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:23:35 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:38:27 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:38:28 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:38:28 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:39:04 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:39:05 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:39:06 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:39:07 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:39:49 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:08 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:28 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:49 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:50 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:50 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:51 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:51 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:52 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:56 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:40:57 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:00 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:01 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:01 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:02 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:02 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:03 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:06 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:07 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:08 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:08 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:09 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:10 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:22 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:23 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:24 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:28 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:41:51 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 16:54:17 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 16:54:17 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/solution.php2023-07-25 16:54:18 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 16:56:56 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-28 12:32:05 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/getDropdownValue.php2023-07-28 12:32:07 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/getDropdownValue.php2023-08-01 11:12:01 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=9092023-08-01 11:14:04 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=7652023-08-01 11:25:15 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=9092023-08-01 11:26:16 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=7652023-08-01 11:26:46 [2@GS003021]
